,Unnamed: 0,Dish,Recipie,Ingredients,Cleaned Ingredients,Image Links,Ingredients List
0,0,CLUB WRAP," Step 1: Streak the tortilla with a bit of your fav sandwich dressing. Step 2: Top with lettuce, then tomato. Lay down you meats and then top it off with the cheese. Step 3: Wrap, slice in 1/2 and bag it up! Step 4: Great Heated UP! or Made HOt!","[' mustard or ranch dressing', '2 slices cooked bacon', ' sliced tomatoes', ' spinach or lettuce, shredded', '1 slice ham', '1 slice turkey', '2 slices cheese']","['large whole wheat tortilla', 'mustard or ranch dressing', 'slices cooked bacon', 'sliced tomatoes', 'spinach or lettuce, shredded', 'slice ham', 'slice turkey', 'slices cheese']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/22/28/55/M5VOfkYQESd0eN7LdGcg_222-club-wrap.jpg","['tortilla', 'mustard ranch', 'bacon', 'tomato', 'spinach lettuce', 'ham', 'turkey', 'cheese']"
1,1,EASY PIZZA MUFFINS, Step 1: Cut the muffins in half. Step 2: spread with sauce. Step 3: add toppings (as you would pizza). Step 4: cook under griller until cheese melts.,"['2 tablespoons pizza sauce or 2 tablespoons tomato paste', '1 cup cheese', '1⁄2 cup ham', '1⁄2 cup pineapple']","['English muffins', 'tablespoons pizza sauce or 2 tablespoons tomato paste', 'cup cheese', 'cup ham', 'cup pineapple']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/45/31/7/I1fZ8mB8QE2gAyGGg4uJ_0S9A5320.jpg","['muffin', 'pizza sauce tomato paste', 'cheese', 'ham', 'pineapple']"
2,2,CLUB WRAP," Step 1: Streak the tortilla with a bit of your fav sandwich dressing. Step 2: Top with lettuce, then tomato. Lay down you meats and then top it off with the cheese. Step 3: Wrap, slice in 1/2 and bag it up! Step 4: Great Heated UP! or Made HOt!","[' mustard or ranch dressing', '2 slices cooked bacon', ' sliced tomatoes', ' spinach or lettuce, shredded', '1 slice ham', '1 slice turkey', '2 slices cheese']","['large whole wheat tortilla', 'mustard or ranch dressing', 'slices cooked bacon', 'sliced tomatoes', 'spinach or lettuce, shredded', 'slice ham', 'slice turkey', 'slices cheese']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/22/28/55/M5VOfkYQESd0eN7LdGcg_222-club-wrap.jpg","['tortilla', 'mustard ranch', 'bacon', 'tomato', 'spinach lettuce', 'ham', 'turkey', 'cheese']"
3,3,PEANUT BUTTER & JELLY PANINI," Step 1: Spread peanut butter liberally on one slice of bread. Step 2: Spread jelly on the other slice. Step 3: Put the two pieces together. Step 4: Place the sandwich on a pre-heated panini maker. Step 5: Close the top and cook three minutes. Step 6: Remove, slice in half and serve. Step 7: (If you have toddlers, you might wait a minute to let the bread cool slightly for them).","[' real peanut butter (from Wholefoods of Wild Oats)', ' grape jelly']","['slices bread (I prefer multi-grain for nutrition)', 'real peanut butter (from Wholefoods of Wild Oats)', 'grape jelly']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/90/25/7/36pILnF7RdSfI8CRhII1_0S9A0272.jpg","['bread', 'peanut butter', 'grape']"
4,4,CHORIZO & EGG BURRITOS," Step 1: Fry a chopped onion and chorizo (broken up)together until onion is tender and translucent. Step 2: add 6 to 8 beaten eggs after everything is nice and brown. Step 3: Keep'em moving until cooked. Step 4: Serve it on a sour cream coated pan-grilled tortilla, add a bit of grated Monterrey jack and avocado (if desired). Step 5: Serve with more sour cream and hot sauce.","['6 -8 large eggs, lightly beaten', '1 large onion, chopped', '6 large flour tortillas, browned in a pan as needed', '1⁄2 cup grated monterey jack cheese', ' sour cream', ' hot sauce (optional)', ' chopped avocado (optional)']","['lb fresh chorizo sausage, broken up', 'large eggs, lightly beaten', 'large onion, chopped', 'large flour tortillas, browned in a pan as needed', 'cup grated monterey jack cheese', 'sour cream', 'hot sauce (optional)', 'chopped avocado (optional)']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/52/03/9/oUfI6eDQGRUiM7Kn9AFH_DSC03351-2.jpg","['sausage', 'egg', 'onion', 'tortilla', 'cheese', 'cream']"
5,5,BAKED CHICKEN TENDERS," Step 1: Preheat Oven to 425°F. Step 2: Mix chicken tenders and mayonnaise in a bowl to lightly coat chicken with mayonnaise. Step 3: Mix bread crumbs and cheese in a gallon-size zippie bag. Step 4: Prepare baking sheet with cooking spray. Step 5: Put 1-2 chicken tenders in the zippie bag with the bread crumbs and shake to coat. Step 6: Place chicken tenders in a single layer on prepared baking sheet. Step 7: Continue until all tenders are coated and on the baking sheet. Step 8: Bake in preheated oven for 8 minutes. Gently flip each one, so as not to remove the breading, and bake an additional 8 minutes. Step 9: Serve with your favorite dipping sauce.","['2 tablespoons light mayonnaise', '1⁄2 cup Italian seasoned breadcrumbs', '1⁄2 cup parmesan cheese']","['lb chicken tenders', 'tablespoons light mayonnaise', 'cup Italian seasoned breadcrumbs', 'cup parmesan cheese']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/19/44/00/54Jim9iVTQkU7tkVebbK_chicken%20tenders%20SITE-2.jpg","['chicken', 'mayonnaise', 'breadcrumb']"
6,6,EASY PIZZA SOUP," Step 1: Mix the condensed soup and milk (use the empty soup can to measure your milk) and heat until warm; either in microwave or on the stove top. Step 2: Pour soup into two bowls. Step 3: Add 1/4 cup mozzarella cheese, 4-5 slices of pepperoni and 1/8 teaspoons oregano to each bowl. Stir and serve. Step 4: Other favorite pizza toppings can be added too.","['10 ounces milk', '1⁄2 cup mozzarella cheese, divided', '8 -10 slices pepperoni, cut into quarters, divided', '1⁄4 teaspoon dried oregano, divided']","['(10 ounce) can condensed tomato soup', 'ounces milk', 'cup mozzarella cheese, divided', 'slices pepperoni, cut into quarters, divided', 'teaspoon dried oregano, divided']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/13/58/73/fujoeTwSjutRbwB1Hqin_pizza-soup-naan-0358.jpg","['tomato soup', 'milk', 'cheese', 'pepperoni', 'oregano']"
7,7,HOT MOLTEN BLOBS," Step 1: Pre-heat oven to 400 degrees. Step 2: Coat muffin tins with non-stick cooking spray. Step 3: Place a biscuit in each of 10 sections. Step 4: In a small bowl, combine mayo and mustard and stir until well blended. Step 5: Using thumbs, press down center to make deep indentations in each biscuit. Step 6: Spoon equal amounts of the mayo mixture in each, about 1 tsp each. Step 7: Top with ham cubes, then with cheddar cubes. Step 8: Place muffin tin on foil-lined rack in oven. Step 9: Bake until biscuits are golden and puffed, and overflowing with cheese, or about 10-12 minutes. Step 10: Remove from oven and let stand 3 minutes before removing from tins. Step 11: Serve while hot.","['2 tablespoons fat-free mayonnaise', '2 tablespoons yellow mustard or 2 tablespoons honey mustard', '24 pieces ham, cubes cut into 3/4 inch cubes', '36 pieces low-fat cheddar cheese, cubes']","['(12 ounce) can buttermilk biscuits', 'tablespoons fat-free mayonnaise', 'tablespoons yellow mustard or 2 tablespoons honey mustard', 'pieces ham, cubes cut into 3/4 inch cubes', 'pieces low-fat cheddar cheese, cubes']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/14/09/69/I0vX9oiS2CKTh1G9FUqG_0S9A0380.jpg","['buttermilk biscuit', 'mayonnaise', 'mustard honey mustard', 'ham', 'cheese']"
8,8,EASY ENCHILADAS, Step 1: Heat oven to 350. Step 2: Cook beef until browned. Step 3: Stir 1/2 cup of enchilada sauce and 1 cup of cheese into beef mixture. Step 4: Spread 1/2 cup of the sauce in a 13 x 9 baking dish. Step 5: Spoon about 4 tablespoons of the beef mixture into each tortilla. Step 6: Roll up and place seam side down in baking dish. Step 7: Top with remaining sauce and cheese. Step 8: Bake for about 20 minutes or until the cheese melts.,"['1 (17 1/2 ounce) jar enchilada sauce', '2 cups Mexican blend cheese', '8 corn tortillas']","['lb ground beef', '(17 1/2 ounce) jar enchilada sauce', 'cups Mexican blend cheese', 'corn tortillas']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/25/72/33/uukuPCRxQcKFqIYnqgb9_DSC03051.jpg","['beef', 'enchilada sauce', 'cheese', 'corn tortilla']"
9,9,BOW TIE PEPPERONI PASTA SALAD," Step 1: Bring a pot of lightly salted water to a boil. Step 2: Add Bow Tie Pasta and cook for 8 to 10 minutes or all dente; drain. Step 3: While pasta is boiling, brown pepperoni in skillet until crisp on both sides and place on paper towels to absorb the grease. Step 4: Toss pasta with pepperoni, italian dressing, parmesian cheese and italian seasoning.","['1 (3 1/2 ounce) package pepperoni', '1 cup Italian salad dressing', '1⁄2 cup grated parmesan cheese', '1⁄2 teaspoon italian seasoning']","['ounces bow tie pasta', '(3 1/2 ounce) package pepperoni', 'cup Italian salad dressing', 'cup grated parmesan cheese', 'teaspoon italian seasoning']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/16/27/22/340Gm57qTuubVLuAWoB3_BOW_TIE_PEPPERONI_PASTA_SALAD_012.jpg","['pasta', 'pepperoni', 'cheese', 'seasoning']"
10,10,VEGGIE DELIGHT SANDWICH," Step 1: If you wish, the bread can be warmed first. Step 2: Spread mayonnaise or mustard on each slice of bread. Step 3: Divide and arrange the ingredients equally on both slices. Step 4: Garnish with the onion sauce. Step 5: Place both bread slices together and cut in half crosswise. Step 6: Prep does not include baking the bread if that is what you choose to do. All amounts are estimated.","[' mayonnaise or mustard, for spreading', ' shredded romaine lettuce', '2 slices swiss cheese (Tillamook of course) or 2 slices cheddar cheese (Tillamook of course)', '6 slices green bell peppers', '6 -8 slices cucumbers', '4 slices red onions', '2 tablespoons black olives, sliced', '1 medium tomatoes, sliced', '1⁄2 avocado, sliced', '1 tablespoon pepperoncini pepper, slices (optional)']","['hoagie rolls, sliced in half lengthwise', 'mayonnaise or mustard, for spreading', 'shredded romaine lettuce', 'slices swiss cheese (Tillamook of course) or 2 slices cheddar cheese (Tillamook of course)', 'slices green bell peppers', 'slices cucumbers', 'slices red onions', 'tablespoons black olives, sliced', 'medium tomatoes, sliced', 'avocado, sliced', 'tablespoon pepperoncini pepper, slices (optional)']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/19/33/02/hnPWqo5TTCW7WAsrth8c_0S9A0821.jpg","['hoagie roll', 'mustard', 'romaine lettuce', 'cheddar', 'bell pepper', 'cucumber', 'onion', 'olive', 'tomato', 'avocado']"
11,11,CLASSIC BLT SANDWICH," Step 1: Cook bacon until crispy, then drain on paper towels. Step 2: Toast the 8 slices of bread. Step 3: Spread 1 tablespoon mayo on each slice of toasted bread. (More or less, to taste). Step 4: Add 1 slice of lettuce to 4 pieces of mayo-spreaded toast. Step 5: Add 2 slices of tomato on top of lettuce. Step 6: Arrange 3 slices of bacon evenly on top of tomato. (Break bacon slices in half to fit, if needed.). Step 7: Add 1 slice of lettuce on top of bacon. Step 8: Put the remaining 4 pieces of mayo-spreaded toast on top to finish the sandwiches. Step 9: Enjoy! Step 10: NOTE: I also like to butter the toast slices before adding the mayo -- higher in fat, but tastier, in my opinion!","['8 slices white bread', '8 leaves iceberg lettuce, fresh and full', '8 slices of ripened tomatoes', ""8 tablespoons Hellmann's mayonnaise""]","['lb bacon (approx. 12 slices)', 'slices white bread', 'leaves iceberg lettuce, fresh and full', 'slices of ripened tomatoes', ""tablespoons Hellmann's mayonnaise""]","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/12/96/15/RCNa1fLaTS2U0FY3yOUq_BLT%25205%2520-%2520final_6.jpg","['bacon', 'bread', 'iceberg lettuce', 'tomato', 'mayonnaise']"
12,12,EGG SALAD ON ENGLISH MUFFIN," Step 1: Finely chop boiled eggs. Step 2: Mix in chopped onion, Dijon mustard, mayonnaise, chive, salt pepper to taste. Step 3: If you like more runny texture you can add 1Tbsp. water. Step 4: Spoon egg salad on lightly toasted English muffin. Step 5: Top with cherry tomatoes, cucumber and salad leaves. Step 6: Tip: if you have any left over cooked bacon, chop it finely and sprinkle on top.","['1⁄4 small onion, thinly chopped', '1 teaspoon Dijon mustard', '1⁄2 cup mayonnaise', ' salt, pepper to taste', '1 tablespoon chives, chopped', '6 English muffins, cut in half, toasted', ' cherry tomatoes, cut in half', ' cucumber, sliced', ' mix greens salad leaves']","['eggs, hard-boiled', 'small onion, thinly chopped', 'teaspoon Dijon mustard', 'cup mayonnaise', 'salt, pepper to taste', 'tablespoon chives, chopped', 'English muffins, cut in half, toasted', 'cherry tomatoes, cut in half', 'cucumber, sliced', 'mix greens salad leaves']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/46/96/32/picwkjKZV.jpg","['egg', 'onion', 'mustard', 'mayonnaise', 'salt', 'muffin', 'tomato', 'cucumber']"
13,13,PORTOBELLO PIZZAS," Step 1: Preheat oven to 450 degrees. Line a baking sheet with parchment paper. Step 2: Brush inside and outside of mushrooms with olive oil. Season with salt and pepper and place on prepared sheet tray with the tops down. Step 3: Build the pizzas by laying tomato sauce, italian seasoning, cheese and pepperoni. Step 4: Bake for 10-12 minutes until cheese has melted and the mushroom is tender. Top with basil and serve.","['1⁄2 cup pizza sauce', '1 teaspoon italian seasoning', '1 3⁄4 cups mozzarella cheese, shredded', '40 mini pepperoni', '4 large basil leaves, torn', '2 tablespoons olive oil', '1 teaspoon kosher salt', '1 teaspoon black pepper']","['large portabella mushrooms, cleaned, gills removed', 'cup pizza sauce', 'teaspoon italian seasoning', 'cups mozzarella cheese, shredded', 'mini pepperoni', 'large basil leaves, torn', 'tablespoons olive oil', 'teaspoon kosher salt', 'teaspoon black pepper']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/53/53/14/OKWZ46RfTEC1e7vZf9S4_GK-NLE-Portobello-Pizzas_16x9-2.jpg","['portabella mushroom gill', 'pizza sauce', 'seasoning', 'cheese', 'mini pepperoni', 'basil torn', 'oil', 'salt', 'pepper']"
14,14,MICROWAVE SALMON FILLETS," Step 1: Thaw filet in refrigerator for several hours, or immerse package in cold water for 30 minutes. Step 2: Place filet in small microwave casserole dish. Step 3: Sprinkle with lemon pepper seasoning. Step 4: Top with butter or margarine. Step 5: Cover casserole and place in microwave. Step 6: Cook on High for 3- 4 minutes. Step 7: Repeat for remaining filets.","[' lemon pepper seasoning', ' butter or margarine']","['individually packaged frozen salmon fillets (about 1-inch thick by 1 1/2-inch wide by 4-inch long)', 'lemon pepper seasoning', 'butter or margarine']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/37/71/3/cRBlooDWSwCIcPI8fOIF_microwave-salmon-fillets-9950.jpg","['salmon', 'pepper seasoning', 'butter margarine']"
15,15,SIMPLE PASTA TOSS," Step 1: Cook and drain pasta as directed. Step 2: While pasta is cooking, in a large pot, heat olive oil and saute chicken, garlic, salt, garlic powder, basil, and oregano until chicken is cooked. Step 3: Add sun-dried tomatoes and cook for two minutes. Step 4: Remove from heat and toss with pasta. Step 5: Serve with grated Parmesan cheese if desired.","['4 boneless skinless chicken breast halves, cut into bite size pieces', '4 tablespoons olive oil', '3 garlic cloves, minced', '1 1⁄4 teaspoons salt', '1 1⁄4 teaspoons garlic powder', '1 1⁄4 teaspoons dried basil', '1 1⁄4 teaspoons dried oregano', '1 cup sun-dried tomato, chopped', '1⁄4 cup parmesan cheese, grated (optional)']","['ounces rotini pasta', 'boneless skinless chicken breast halves, cut into bite size pieces', 'tablespoons olive oil', 'garlic cloves, minced', 'teaspoons salt', 'teaspoons garlic powder', 'teaspoons dried basil', 'teaspoons dried oregano', 'cup sun-dried tomato, chopped', 'cup parmesan cheese, grated (optional)']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/28/52/84/aF0eWDOQ5y0FnCXd3TwQ_DSC03008.jpg","['pasta', 'breast', 'oil', 'clove', 'salt', 'powder', 'basil', 'oregano', 'tomato']"
16,16,QUICK CHICKEN & RICE," Step 1: Stir peas into rice pouch. Heat in microwave according to package directions. Step 2: Meanwhile, in a large skillet, cook and stir chicken in hot oil over medium-high heat for 2 to 3 minutes or until no longer pink. Stir rice mixture into skillet. Stir in stir-fry sauce; heat through. Sprinkle each serving with almonds.","['1⁄2 cup frozen peas', '1 lb chicken breast tenders, halved crosswise', '1 tablespoon cooking oil', '1⁄4 cup bottled stir-fry sauce', ' packaged oven-roasted sliced almonds']","['(8 7/8 ounce) package rice, white', 'cup frozen peas', 'lb chicken breast tenders, halved crosswise', 'tablespoon cooking oil', 'cup bottled stir-fry sauce', 'packaged oven-roasted sliced almonds']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/43/67/03/FsZEvc2IR78mUkAAthsp_DSC03080.jpg","['rice', 'pea', 'chicken', 'cooking oil', 'stirfry sauce', 'almond']"
17,17,HUMMUS PIZZA, Step 1: Heat pita breads in the oven at 350 degrees F. Step 2: Spread hummus on warmed pita breads. Step 3: Cut the tomato and add slices on top of the hummus. Step 4: Place spinach on top of tomatos. Step 5: Add olives to taste.,"['1 tomatoes', '1 (8 ounce) container hummus', '1 (6 ounce) bag spinach', '1 (8 ounce) jar black olives']","['pita breads', 'tomatoes', '(8 ounce) container hummus', '(6 ounce) bag spinach', '(8 ounce) jar black olives']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/43/60/03/RwP23d5ROquO2lmsjj5w_DSC05534-2.jpg","['bread', 'tomato', 'hummu', 'bag spinach', 'olive']"
18,18,CHICKEN BREAST WITH HONEY-BALSAMIC GLAZE, Step 1: Combine first 3 ingredients; sprinkle over both sides of chicken. Step 2: Heat oil in a large nonstick skillet over medium-high heat. Add chicken; cook 7 to 8 minutes on each side or until chicken is done. Step 3: Transfer chicken to a platter; keep warm. Reduce heat to medium-low; add vinegar and honey to pan. Simmer 1 minute or until glaze thickens; stir constantly. Pour glaze over chicken.,"['1⁄2 teaspoon salt', '1⁄4 teaspoon black pepper', '1 teaspoon olive oil', '4 (4 ounce) boneless skinless chicken breast halves', '2 tablespoons balsamic vinegar', '2 tablespoons honey']","['teaspoons dried thyme', 'teaspoon salt', 'teaspoon black pepper', 'teaspoon olive oil', '(4 ounce) boneless skinless chicken breast halves', 'tablespoons balsamic vinegar', 'tablespoons honey']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/15/18/29/D2zqov5bSsaHHh5AKZRT_chicken-breast-honey-balsamic-glaze_0940.jpg","['thyme', 'salt', 'pepper', 'oil', 'breast', 'balsamic vinegar', 'honey']"
19,19,5-INGREDIENT SPAGHETTI," Step 1: Grate lemon peels to yield 1 tablespoon of lemon zest. Juice the lemons to yield 1/2 cup of fresh lemon juice. Whisk together the oil, Parmesan cheese, lemon juice, salt and pepper in large bowl. Step 2: Meanwhile, cook pasta according to the package instructions. Drain, reserving 1 cup of the cooking water. Step 3: Add the spaghetti to the lemon sauce, and toss with the basil and lemon zest. Season the pasta with salt and pepper to taste.","['2 fresh lemons', '2⁄3 cup olive oil', '2⁄3 cup parmesan cheese, grated', '1⁄2 cup fresh basil, chopped', '1 pinch salt and pepper']","['one box barilla spaghetti', 'fresh lemons', 'cup olive oil', 'cup parmesan cheese, grated', 'cup fresh basil, chopped', 'pinch salt and pepper']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/submissions/recipe/0/76q1vVUkSmaRbuS7gvEq_85513H.jpg","['barilla', 'lemon', 'oil', 'basil', 'salt pepper']"
20,20,MICROWAVE LEMONY WALDORF FISH FILLETS," Step 1: In a 1-quart microwave-safe bowl combine apple, celery, and butter or margarine. Step 2: Micro-cook, covered, on 100% power (HIGH) for 2-3 minutes or until celery is crisp-tender. Step 3: Stir in stuffing mix, mayonnaise or salad dressing, walnuts, and lemon juice; set aside. Step 4: In a 12 x 7 1/2 x 2-inch baking dish, place block of fish. Step 5: Micro-cook, covered for 5 minutes, giving dish a half-turn after 3 minutes. Step 6: Drain off juices. Step 7: Place stuffing in 4 mounds around fish. Cook, uncovered, for 2-3 minutes or until fish flakes easily when tested with a fork and stuffing is heated through.","['1⁄2 cup celery, thinly sliced', '1 tablespoon butter or 1 tablespoon margarine', '1 cup herb seasoned stuffing mix', '1⁄4 cup mayonnaise or 1/4 cup salad dressing', '1⁄4 cup walnuts, chopped', '1 tablespoon lemon juice', '1 lb frozen cod or 1 lb other fish fillet, thawed']","['cup apple, chopped', 'cup celery, thinly sliced', 'tablespoon butter or 1 tablespoon margarine', 'cup herb seasoned stuffing mix', 'cup mayonnaise or 1/4 cup salad dressing', 'cup walnuts, chopped', 'tablespoon lemon juice', 'lb frozen cod or 1 lb other fish fillet, thawed']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/33/58/72/Q3vhZJGATOySEfJpXA1o_fish.jpg","['apple', 'celery', 'butter margarine', 'herb', 'mayonnaise', 'walnut', 'lemon juice', 'cod']"
21,21,HEALTHY EGG SALAD SANDWICH," Step 1: With the back of a fork, mash egg yolk with mustard to make a thick paste. Step 2: Stir in chopped scallions and chopped egg white. Mix in salt and pepper as desired. Step 3: Divide mixture on top of 2 slices of bread. Step 4: Top with lettuce leaves, and cover with remaining slices of bread. Makes 2 sandwiches.","['2 chopped scallions (white and green parts)', '2 tablespoons Dijon mustard', '2 pieces lettuce (I prefer romaine)', '4 slices whole grain bread, toasted', ' salt and pepper']","['hard-boiled eggs', 'chopped scallions (white and green parts)', 'tablespoons Dijon mustard', 'pieces lettuce (I prefer romaine)', 'slices whole grain bread, toasted', 'salt and pepper']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/22/63/77/P1og9AWXQmCugQuogEUj_healthy-egg-salad-sandwich-3635.jpg","['egg', 'scallion', 'mustard', 'lettuce romaine', 'bread', 'salt pepper']"
22,22,QUICK & DELICIOUS GOAT CHEESE SALAD," Step 1: In a salad bowl, place greens, cranberries, walnuts, and dressing, and mix gently. Step 2: With a spoon, break up the goat cheese into uneven chunks on top of the salad. Step 3: Enjoy as part of a meal with grilled fish and a blush wine Step 4: Eat as a light dinner with a cup of warm tea. Step 5: Makes for a beautiful presentation when entertaining guests.","['3 tablespoons dried cranberries', '1⁄4 cup walnuts, halved', '1 tablespoon raspberry vinaigrette dressing', '4 ounces soft fresh goat cheese']","['cups mixed greens, cleaned and dried (arugula, radicchio, romaine, baby spinach, etc)', 'tablespoons dried cranberries', 'cup walnuts, halved', 'tablespoon raspberry vinaigrette dressing', 'ounces soft fresh goat cheese']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/26/92/58/DFSpOnUOT9KLqRKCYSkU_1.1saladredo2.jpg","['arugula radicchio romaine spinach etc', 'cranberry', 'walnut', 'raspberry vinaigrette', 'cheese']"
23,23,BAKED PESTO CHICKEN, Step 1: Preheat oven to 400 degrees F. Step 2: Line baking sheet with heavy-duty foil. Step 3: Place chicken and pesto in medium bowl; toss to coat. Step 4: Place chicken on prepared baking sheet. Step 5: Bake for 20-25 minutes or until chicken is no longer pink in center. Step 6: Remove from oven; top with tomatoes and cheese. Step 7: Bake for an additional 3-5 minutes or until cheese is melted.,"['1⁄2 cup refrigerated basil pesto', '2 -3 plum tomatoes, sliced (optional)', '1⁄2 cup mozzarella cheese, shredded']","['boneless skinless chicken breast halves', 'cup refrigerated basil pesto', 'plum tomatoes, sliced (optional)', 'cup mozzarella cheese, shredded']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/23/42/5/Tktru4P3QS5bbY35DtQt_Baked-Chicken-Pesto-3.jpg","['breast', 'basil pesto', 'tomato', 'cheese']"
