,Unnamed: 0,Dish,Recipie,Ingredients,Cleaned Ingredients,Image Links,Ingredients List
24,24,LUNCHBOX PIZZA QUESADILLA," Step 1: These are made just like any other quesadilla or grilled cheese sandwich. Step 2: Spray the bottom of a non-stick skillet with cooking spray and preheat. Step 3: When the pan is fairly hot place 1 Flour Tortilla in the pan. Step 4: Fairly quickly (because you want to get everything on before the bottom starts to brown) spread on a few tablespoons of sauce. Step 5: Then add a layer of Pepperoni (and anything else you like). Step 6: Then top with shredded cheese. Step 7: Top it off with the 2nd Flour Tortilla. Step 8: Just like any other quesadilla or grilled cheese let it brown then flip it over. If all of the cooking spray was absorbed you can spray on a little more, but you usually don't need to. Step 9: After both sides are browned and the insides are hot and melted take the ""pizzas"" out to cool. Step 10: Once cooled slice in 1/4 like a pizza and wrap snugly with plastic wrap or aluminum foil. Step 11: Tips and Ideas. Step 12: My son is not super picky so I made these in batches and freeze and then take them out the morning of school and pop into his lunchbox. It is usually thawed and yummy by lunch time. If you freeze them you need to let the cool completely first the wrap them separately in plastic wrap and then aluminum foil to prevent ice crystals from forming.","['3 tablespoons spaghetti sauce or 3 tablespoons pizza sauce', '1⁄4 cup shredded cheese (I like Monterey Jack, but use what you like)', '8 slices pepperoni']","['inches flour tortillas (small size to fit in lunchbox)', 'tablespoons spaghetti sauce or 3 tablespoons pizza sauce', 'cup shredded cheese (I like Monterey Jack, but use what you like)', 'slices pepperoni']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/38/51/90/0ZwWvAlsSaiIJ8u8om9X_pizza-quesdailla-3.jpg","['tortilla fit lunchbox', 'pizza sauce', 'pepperoni']"
25,25,MICROWAVE GARLIC PRAWNS," Step 1: Peel and devein prawns, leaving tails intact. Step 2: Put prawns into a microwave proof dish or divide prawns into 4 microproof ramekins. Step 3: Combine all other ingredients and pour over prawns or divide between the 4 ramekins. Step 4: Microwave on high for 5 minutes, stirring occasionally. Step 5: Serve with crusty bread.","['1⁄3 cup peanut oil', '2 garlic cloves (crushed or minced or 2 teaspoon from jar)', '2 tablespoons spring onions (white part finely chopped)', '2 tablespoons dry sherry', '1 dash Tabasco sauce (or 1 dash chili powder or 1 small chilli pepper, finely sliced, deseed or not)', ' salt and pepper (to taste)']","['g prawns (raw)', 'cup peanut oil', 'garlic cloves (crushed or minced or 2 teaspoon from jar)', 'tablespoons spring onions (white part finely chopped)', 'tablespoons dry sherry', 'dash Tabasco sauce (or 1 dash chili powder or 1 small chilli pepper, finely sliced, deseed or not)', 'salt and pepper (to taste)']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/17/82/13/pMOqUZR7QwyfkKv28itp_microwave-prawns-shrimp-0066.jpg","['prawn', 'peanut oil', 'clove', 'spring onion', 'dry sherry', 'sauce chili powder chilli pepper deseed', 'salt']"
26,26,GROUND BEEF & POTATOES," Step 1: Heat about 2 tablespoons of oil in a large skillet. Add diced potatoes (about 1/4 inch cubes) and cook for about 10 mins or until slightly browned and mostly cooked through stirring occasionally. Step 2: Add lean ground beef to potatoes and brown, chopping it up into very small pieces and stirring and flipping often (about 10 minutes). (If you use lean ground beef, there is no need to drain - be sure to cook meat with potatoes as it does make a difference in the overall flavor). Step 3: Once meat is fully cooked, turn off burner and add about a 1/2 tsp of salt and stir in with spatula. Add more salt to taste if desired. Serve with salted white rice and veggies.","['2 cups diced potatoes (about 1 large potato)', '2 tablespoons vegetable oil', '1⁄2 teaspoon salt (add additional salt to taste)']","['lb lean ground beef', 'cups diced potatoes (about 1 large potato)', 'tablespoons vegetable oil', 'teaspoon salt (add additional salt to taste)']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/28/26/20/YvkTXCxfRligmW2qLCZV_0S9A2856.jpg","['beef', 'potato', 'oil', 'salt salt']"
27,27,MY FAVORITE SPINACH SALAD, Step 1: Place freshly washed spinach on individual plates. Step 2: Sprinkle with chopped hard boiled eggs and crumbled bacon. Step 3: Spread sliced onion on top. Step 4: Drizzle with poppyseed dressing. Step 5: Serves 4 small or 2 meal size.,"['5 hard-boiled eggs, chopped', '1⁄2 lb bacon, fried and crumbled', '1 medium red onion, thinly sliced', '1 (12 -16 ounce) jar of your favorite refrigerated poppy seed dressing']","['(6 ounce) package baby spinach leaves', 'hard-boiled eggs, chopped', 'lb bacon, fried and crumbled', 'medium red onion, thinly sliced', '(12 -16 ounce) jar of your favorite refrigerated poppy seed dressing']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/30/83/7/bkPHWXvTTxWROh5HTg2c_0S9A1388.jpg","['spinach', 'egg', 'bacon', 'onion', 'seed']"
28,28,PIZZA SCROLLS," Step 1: Preheat oven to 200c. Step 2: Combine the chopped capsicum, ham and cheese in bowl. Step 3: Spread the sauce onto each sheet of pastry, leaving a 2cm border along one side, and sprinkle the capsicum mixture over the top. Step 4: Roll up the pastry to enclose the filling (like a swiss roll), leaving the plain edge until last. Step 5: Brush the edge lightly with water and fold to seal. Step 6: Cut each roll into 1cm rounds (use serrated bread knife) and place on lined oven trays. Step 7: Bake for 20 min or until golden.","['100 g ham or 100 g salami, chopped fine', '1⁄2 cup cheese, grated', '1⁄4 cup pizza sauce', '2 sheets ready rolled puff pastry']","['small red capsicum, chopped finely', 'g ham or 100 g salami, chopped fine', 'cup cheese, grated', 'cup pizza sauce', 'sheets ready rolled puff pastry']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/22/92/27/kz2OEDD3Su7NHGSwqkJX_0S9A9846.jpg","['capsicum', 'ham salami', 'cheese', 'pizza sauce', 'puff pastry']"
29,29,CHEESY TURKEY BURGER," Step 1: Mix all ingredients together in large bowl. Add more bread crumbs if necessary. Should form a firm ball. Add salt and pepper to taste. Step 2: Shape into six patties, not too thin. Step 3: Pan-fry, broil, or grill inside or out until lightly browned and cooked through, about 5 minutes per side.","['1⁄2 teaspoon garlic powder', '1⁄2 teaspoon onion powder', '1⁄4 teaspoon celery seed', '1⁄4 teaspoon oregano', '2 tablespoons Worcestershire sauce', '1⁄4 cup breadcrumbs', '1⁄4 cup shredded cheddar cheese', ' salt', ' pepper']","['lb ground turkey', 'teaspoon garlic powder', 'teaspoon onion powder', 'teaspoon celery seed', 'teaspoon oregano', 'tablespoons Worcestershire sauce', 'cup breadcrumbs', 'cup shredded cheddar cheese', 'salt', 'pepper']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/21/97/82/l5HLsa9cQWWh2iHseHrX_turkey%2520burgers.jpg2.jpg","['turkey', 'powder', 'onion powder', 'celery seed', 'oregano', 'sauce', 'breadcrumb', 'cheese', 'salt', 'pepper']"
30,30,CREAMY ITALIAN PASTA SALAD," Step 1: Cook pasta as directed, rinse with cold water and drain well. Step 2: In a large bowl, combine rest of ingredients and toss to coat. Step 3: Add pasta and toss to coat. Step 4: Chill at least 2 hours before serving. Step 5: *** If pasta ""absorbs"" the dressing, you may need to add a little more dressing after chill time before serving.","['1 cup Italian salad dressing (I like good seasons)', '1 cup caesar salad dressing', '1 cup grated parmesan cheese', '1 medium tomatoes, seeded and diced', '1 medium cucumber, peeled and diced', '1 green bell peppers or 1 red bell pepper, seeded and diced']","['(12 ounce) package tri-color spiral pasta (or pasta of your choice)', 'cup Italian salad dressing (I like good seasons)', 'cup caesar salad dressing', 'cup grated parmesan cheese', 'medium tomatoes, seeded and diced', 'medium cucumber, peeled and diced', 'green bell peppers or 1 red bell pepper, seeded and diced']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/20/45/69/yWDBwndcThm128J0262T_pastasalad1%2520(1%2520of%25201).jpg","['pasta pasta', 'season', 'caesar', 'cheese', 'tomato', 'cucumber', 'bell bell pepper']"
31,31,TOMATO & EGG MUFFIN," Step 1: Poach the eggs in a pan of gently simmering water, until cooked as you like. Step 2: Meanwhile, toast muffins. Step 3: Divide tomato between two muffin halves; sprinkle with vinegar, top with eggs, then remaining muffin halves.","['2 multigrain English muffins, split', '1 small tomatoes, sliced thinly', '2 teaspoons balsamic vinegar']","['eggs', 'multigrain English muffins, split', 'small tomatoes, sliced thinly', 'teaspoons balsamic vinegar']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/35/91/98/Yk7aGiGMRZqU6m6nYMEe_IMG_4227.JPG","['egg', 'muffin', 'tomato', 'balsamic vinegar']"
32,32,EASY PITA BREAD PIZZA," Step 1: Brush on a little olive oil on the pita. Step 2: Spread sauce on top of the pita. Step 3: Sprinkle on the shredded cheese. Step 4: Sprinkle on pinches of desired herbs and spices, and add any toppings you'd like. Step 5: Place on baking sheet, bake for 5-7 minutes at 400°, or until cheese is melted (times may vary). Step 6: Slice with pizza cutter and enjoy!","['2 tablespoons spaghetti or 2 tablespoons pizza sauce', '1⁄4 cup mozzarella cheese, shredded', ' spices (oregano, basil, garlic powder) or dried herbs (oregano, basil, garlic powder)', ' olive oil (optional)']","['pita bread', 'tablespoons spaghetti or 2 tablespoons pizza sauce', 'cup mozzarella cheese, shredded', 'spices (oregano, basil, garlic powder) or dried herbs (oregano, basil, garlic powder)', 'olive oil (optional)']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/11/00/67/hQp8C5iSFauheZbxikZw_pitapizza3.jpg","['bread', 'pizza sauce', 'cheese', 'spice oregano powder oregano basil powder', 'oil']"
33,33,GRILLED CHICKEN FLATBREAD PIZZAS," Step 1: Heat the grill. Mix all the ingredients together (except the bread) in a bowl. Use your hands. It's easier. Step 2: Turn the heat to low on your grill. Lay the flat breads on (high rack if you have one). Mound the mixture on the flat bread, spreading to the edges. Close the grill and give it a minute or two, When it is melted, it's done. (If you leave it on too long, the bread will burn). Step 3: Put it on a bread board and cut it with a pizza cutter.","['1 1⁄2 cups of sliced leftover grilled chicken', '1⁄2 cup sun-dried tomato packed in oil, coarsely chopped', '6 leaves fresh basil, coarsely chopped', '3 cups grated mozzarella cheese', '1 teaspoon salt', '1 teaspoon ground black pepper', '1 teaspoon red pepper flakes']","['flat bread (you can use thin pita bread)', 'cups of sliced leftover grilled chicken', 'cup sun-dried tomato packed in oil, coarsely chopped', 'leaves fresh basil, coarsely chopped', 'cups grated mozzarella cheese', 'teaspoon salt', 'teaspoon ground black pepper', 'teaspoon red pepper flakes']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/30/95/38/7lUNeFfPRkqX0rEAOGgA_DSC_0480.jpg","['bread bread', 'chicken', 'tomato oil', 'basil', 'cheese', 'salt', 'pepper', 'pepper']"
34,34,QUICK & EASY TUNA SALAD SANDWICH FOR KIDS," Step 1: Empty tuna into bowl. Step 2: Add mayonnaise and pickle relish. Step 3: Mix well and taste. Add more mayo or pickle relish if necessary. Step 4: Toast bread. Step 5: Add lettuce, tuna chef and cheese.","['2 - 2 1⁄2 tablespoons mayonnaise', '1 - 1 1⁄2 tablespoon sweet pickle relish', ' lettuce', ' American cheese', ' any type of sliced bread']","['ounces tuna', 'tablespoons mayonnaise', 'tablespoon sweet pickle relish', 'lettuce', 'American cheese', 'any type of sliced bread']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/21/68/39/picqlzGH8.jpg","['tuna', 'mayonnaise', 'sweet relish', 'lettuce', 'cheese', 'bread']"
35,35,EASY ROAST BEEF WRAP," Step 1: On cold tortilla, place the roast beef, then cheese slice (divided in half to fit length wise). Step 2: Microwave for 30-40 seconds on high.","['2 slices deli roast beef', '1 slice provolone cheese']","['8-inch flour tortillas', 'slices deli roast beef', 'slice provolone cheese']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/89/54/3/picui3pO4.jpg","['tortilla', 'roast beef', 'cheese']"
36,36,CHEESE-TOMATO MELT," Step 1: Divide tomato slices and cheese evenly on top of bread slices. Sprinkle seasonings, if desired. Step 2: Broil until cheese melts. Step 3: Serve immediately.","['4 slices of a medium tomatoes', '2 slices whole wheat bread', ' italian seasoning (optional)', ' coarse sea salt (optional)']","['ounces shredded lowfat mozzarella cheese', 'slices of a medium tomatoes', 'slices whole wheat bread', 'italian seasoning (optional)', 'coarse sea salt (optional)']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/13/51/71/picwD805v.jpg","['cheese', 'tomato', 'bread', 'coarse sea']"
37,37,HEALTHY SANDWICH," Step 1: 1 Spread the avocado over the tortilla.2 Combine all the other ingredients in a small bowl, then spoon it into the center of the tortilla.3 Fold the tortilla from the bottom first, then the sides, and enjoy immediately.","['3 tablespoons avocados', '1⁄2 cup garbanzo beans', '1 tablespoon jalapeno pepper, finely chopped', '2 tablespoons carrots, slivered', '2 tablespoons fresh Italian parsley, roughly chopped', '1⁄3 cup marbled cheddar cheese, sliced (optional)']","['corn tortilla', 'tablespoons avocados', 'cup garbanzo beans', 'tablespoon jalapeno pepper, finely chopped', 'tablespoons carrots, slivered', 'tablespoons fresh Italian parsley, roughly chopped', 'cup marbled cheddar cheese, sliced (optional)']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/44/13/60/picdz6FmF.jpg","['corn tortilla', 'avocado', 'garbanzo bean', 'carrot', 'parsley', 'cheese']"
38,38,BUFFALO CHICKEN WRAP IN A SNAP," Step 1: Mix mayo and hot sauce. Step 2: Fill tortilla with sauce, lettuce and chicken. Step 3: Roll to eat.","['1 tablespoon Tabasco sauce (or an variety)', '1 tortilla (10 inch)', '1 lettuce leaf', '6 slices shaved chicken']","['tablespoon mayonnaise', 'tablespoon Tabasco sauce (or an variety)', 'tortilla (10 inch)', 'lettuce leaf', 'slices shaved chicken']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/30/81/63/pic9tmppB.jpg","['mayonnaise', 'sauce variety', 'tortilla', 'lettuce', 'chicken']"
39,39,GRILLED PEANUT BUTTER & JELLY SANDWICH," Step 1: Spread 1 teaspoon margarine on each slice of bread. On the unbuttered side spread peanut butter on one piece and jelly on the other. Put the peanut butter and jelly sides together. Step 2: Heat a skillet on medium high heat until warm. Put the sandwich in the pan, butter side down. Cook until golden grown then turn and brown the other side. Enjoy.","['2 teaspoons butter or 2 teaspoons margarine', '2 tablespoons peanut butter', '1 -2 tablespoon jelly or 1 -2 tablespoon jam']","['slices whole grain bread', 'teaspoons butter or 2 teaspoons margarine', 'tablespoons peanut butter', 'tablespoon jelly or 1 -2 tablespoon jam']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/44/70/23/piceqFP76.jpg","['bread', 'butter margarine', 'peanut butter', 'jam']"
40,40,HUMMUS VEGETABLE SANDWICH, Step 1: Spread 1 slice whole wheat bread with half the mixture of hummus and tapenade (optional). Step 2: Do the same on the second piece of bread. Step 3: Top hummus and tapenade with the 1/4 cucumber thinly sliced and the 1 carrot coarsely grated. Step 4: This recipe makes 1 sandwich.,"['1⁄2 cup store bought hummus', '2 tablespoons store bought tapenade (olive spread)', '1⁄4 cucumber, thinly sliced', '1 coarsely grated carrot']","['slices whole wheat bread', 'cup store bought hummus', 'tablespoons store bought tapenade (olive spread)', 'cucumber, thinly sliced', 'coarsely grated carrot']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/26/75/93/pic9Gx0ei.jpg","['bread', 'store hummu', 'store spread', 'cucumber', 'carrot']"
41,41,ITALIAN SAUCY SAUSAGE SUB," Step 1: Fry, boil or grill your sausage. Step 2: Sauté onion and bell pepper with a dash of pepper flakes. Step 3: ASSEMBLY----------. Step 4: Place sausage on bun. Step 5: Place sauté mixture on top. Step 6: Place warm sauce on top. (warm for twenty seconds in microwave). Step 7: Enjoy!","['10 tablespoons spaghetti sauce', '1 small onion', '1⁄4 bell pepper', '1 hoagie roll']","['Italian sausage', 'tablespoons spaghetti sauce', 'small onion', 'bell pepper', 'hoagie roll']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/20/03/7/pichLQrYL.jpg","['sausage', 'onion', 'bell pepper', 'hoagie roll']"
42,42,CHEATER'S CHICKEN NOODLE SOUP," Step 1: Place water and one bouillon cube in a 3 quart saucepan. (I never measure, I just fill it up about halfway.) Step 2: Bring to a boil. Add egg noodles and boil for 3 minutes. (Adjust your time if you aren't using fine egg noodles. Cook for the lowest time in package directions.) Do not drain noodles! Step 3: Turn heat to OFF. Add remaining bouillon cubes and stir until dissolved. Step 4: Add carrots and chicken. Stir to heat thoroughly. Add a sprinkling of dried parsley, if desired.","['8 ounces fine egg noodles', '6 cups water', '5 -6 chicken bouillon cubes', '1 (15 ounce) can carrots, undrained']","['lb chicken tenders, cooked and diced', 'ounces fine egg noodles', 'cups water', 'chicken bouillon cubes', '(15 ounce) can carrots, undrained']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/21/05/34/picaYVKoM.jpg","['chicken', 'egg noodle', 'water', 'chicken', 'carrot']"
43,43,GROUND CHICKEN RANCH BURGER," Step 1: Mix all ingredients together. Mixture will be wet. Step 2: Be sure to spray or oil grill and do not turn chicken patties until well browned. Step 3: Form into patties and grill or pan fry. Step 4: I usually cook about 3-4 minutes on each side, a little longer may be needed if frozen. Juice will run clear when done.","['1 (1 ounce) package ranch dressing mix, dry (Hidden Valley)', '1⁄2 cup fresh breadcrumb', '1⁄2 cup mushroom, chopped fine']","['lb lean ground chicken', '(1 ounce) package ranch dressing mix, dry (Hidden Valley)', 'cup fresh breadcrumb', 'cup mushroom, chopped fine']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/35/61/16/picoZeWch.jpg","['chicken', 'breadcrumb', 'mushroom']"
44,44,SNACK STACKERS," Step 1: Cut 4 (1-1/2-inch) circles out of your choice of lunch meat (use small glass if you don't have a cutter that is that small and cut around it), then cut 4 (1-1/4-inch) stars out of your choice of cheese. Step 2: Top each cracker with 1 lunch meat circle and 1 cheese star or place in container and ship off in lunch box.","['1 slice cheese', '4 Ritz crackers']","['slice lunch meat', 'slice cheese', 'Ritz crackers']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/25/17/73/picW2WtKH.jpg","['lunch meat', 'cheese', 'cracker']"
45,45,YUMMY GRILLED TUNA & CHEESE SANDWICHES, Step 1: Spread both sides of the bread thinly with butter. Step 2: Place the cheese on the bread and then the tuna. Step 3: Grill for 2 minutes on each side or until the bread is golden brown. Step 4: Serve or refrigerate and eat later (they are still nice cold).,"['1 1⁄2 tablespoons butter or 1 1/2 tablespoons margarine, soft', '2 slices cheese', '150 g solid white tuna, drained and flaked']","['slices bread', 'tablespoons butter or 1 1/2 tablespoons margarine, soft', 'slices cheese', 'g solid white tuna, drained and flaked']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/15/59/5/picNzbzvv.jpg","['bread', 'butter margarine', 'cheese', 'tuna']"
46,46,MUSHROOM QUESADILLA," Step 1: Wrap the tortillas in foil and warm them in a 350F oven while you are cooking the mushrooms. Step 2: Saute the mushrooms and garlic until most of the water from the mushrooms has evaporated. Step 3: Season with salt & pepper. Step 4: Divide the mushrooms & cheese between the four tortillas, fold in half. Step 5: Serve with salsa, quacamole & sour cream (Optional).","['1 1⁄2 tablespoons garlic, minced', ' salt & pepper', '4 large tortillas, Whole wheat or 4 large sun-dried tomatoes', '1 1⁄4 cups cheddar cheese, grated']","['lbs mushrooms, fresh, sliced', 'tablespoons garlic, minced', 'salt & pepper', 'large tortillas, Whole wheat or 4 large sun-dried tomatoes', 'cups cheddar cheese, grated']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/11/55/85/picWKqW7M.jpg","['mushroom fresh', 'garlic', 'salt pepper', 'tortilla tomato', 'cheese']"
47,47,BOSTON FENWAY FRANKS," Step 1: Grill or Steam the frank. Step 2: Grill the bun, cut side down. Step 3: Push the cooked frank down into the grilled bun and cover with the condiments in the order given, to taste. Step 4: Enjoy!","['1 teaspoon frenches yellow mustard', '1 tablespoon finely chopped onion', '1 tablespoon green sweet pickle relish', '1 hot dog bun, cut and buttered on the inside']","['kosher all beef frank', 'teaspoon frenches yellow mustard', 'tablespoon finely chopped onion', 'tablespoon green sweet pickle relish', 'hot dog bun, cut and buttered on the inside']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/34/09/35/pic5BQwid.jpg","['beef', 'mustard', 'onion', 'pickle relish', 'bun']"
48,48,APPLE-CHEDDAR PANINI," Step 1: Preheat panini press on medium heat(or use 2 heavy skillets-one to put on top of the panini while cooking to press it). Step 2: Lightly spread honey mustard evenly over each slice of bread. Step 3: Layer apple slices and cheese over 4 slices of bread, using about ½ apple and 2 ounces of cheese for each sandwich. Top each with remaining bread slices. Lightly coat panini press with cooking spray(or coat skillet. Step 4: Grill each sandwich for 3 to 5 minutes or until cheese has melted and bread has toasted. Step 5: Remove from pan and allow to cool slightly before serving. Enjoy!","['1⁄4 cup honey mustard', '2 crisp apples, thinly sliced (I like Braeburn or Fuji or Gala)', '8 ounces mild cheddar cheese, thinly sliced', ' cooking spray']","['slices whole grain bread', 'cup honey mustard', 'crisp apples, thinly sliced (I like Braeburn or Fuji or Gala)', 'ounces mild cheddar cheese, thinly sliced', 'cooking spray']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/22/16/85/pic0lJuoN.jpg","['bread', 'honey mustard', 'crisp apple', 'cheese', 'cooking spray']"
49,49,CALIFORNIA ROLLWICH FOR KIDS," Step 1: Scoop the flesh from the avocado and mash, mixing with a dash of lemon or lime juice. Step 2: Mix in diced tomatoes and optional vegetables. Step 3: Set aside. Step 4: Spread the tortilla or pita with mayonnaise, leaving at least 1/2 inch around the outside. Step 5: Spread avocado spread over mayonnaise. Step 6: Top spread with shredded lettuce. Step 7: Carefully place turkey or ham slices on top of topping (leaving room on the edge for rolling). Step 8: Add cheese strips down the middle. Step 9: Carefully roll the tortilla into a wrap. Step 10: Cut into two pieces.","['2 tablespoons mayonnaise', '2 ounces sliced turkey or 2 ounces ham, thin deli slices', '1 slice cheese, cut into strips (cheddar, provolone, swiss, etc.)', '2 tablespoons romaine lettuce, shredded', '1 small avocado', '1⁄4 cup fresh tomato, diced', '1 dash lemon juice or 1 dash lime juice', '2 tablespoons carrots (diced or shredded) (optional)', '1 tablespoon green pepper, diced (optional)']","['flour tortillas (10 inch) or 1 pita bread', 'tablespoons mayonnaise', 'ounces sliced turkey or 2 ounces ham, thin deli slices', 'slice cheese, cut into strips (cheddar, provolone, swiss, etc.)', 'tablespoons romaine lettuce, shredded', 'small avocado', 'cup fresh tomato, diced', 'dash lemon juice or 1 dash lime juice', 'tablespoons carrots (diced or shredded) (optional)', 'tablespoon green pepper, diced (optional)']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/32/04/15/pic725Xvr.jpg","['tortilla bread', 'mayonnaise', 'ham', 'cheddar provolone swis etc', 'romaine lettuce', 'avocado', 'tomato', 'lemon juice lime juice', 'carrot', 'pepper']"
50,50,CHUNKY CHICKEN NACHOS," Step 1: Arrange chips on a large microwavable platter. Step 2: Top with 1 cup of cheese, chicken, salsa, olives and remaining cheese. Step 3: Microwave on High 3 to 4 Minutes or until cheese is melted, turning platter halfway through cooking time.","['4 cups tortilla chips', '1 1⁄2 cups shredded taco cheese, seasoned (or cheddar, divided)', '1⁄3 cup salsa', '1⁄4 cup pitted ripe sliced ripe olives']","['cups diced cooked chicken', 'cups tortilla chips', 'cups shredded taco cheese, seasoned (or cheddar, divided)', 'cup salsa', 'cup pitted ripe sliced ripe olives']","https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/13/82/96/zLGWEQWXQRW7WGjxJ9aS_chunky%2520chx%2520nachos.JPG","['chicken', 'tortilla chip', 'cheese', 'salsa']"
