,ingredient,protien,fat,cholestrol,fiber
0,plu biscuit board,7.0,16.3,44.6,1.5
1,tomato paste,0.88,0.2,3.89,1.2
2,soup cream mushroom,2.05,37.0,2.79,0.0
3,beef broth,1.97,0.09,1.2,0.0
4,butter margarine,0.85,81.11,0.06,0.0
5,vinegar balsamic,0.0,0.0,0.04,0.0
6,provolone cheddar etc swis,25.58,26.62,2.14,0.0
7,tomato sauce,0.88,0.2,3.89,1.2
8,cream,2.05,37.0,2.79,0.0
9,buttermilk,3.31,0.88,4.79,0.0
10,pork,19.74,12.58,0.0,0.0
11,curry powder,14.29,14.01,55.83,53.2
12,yoghurt cream,3.47,3.25,4.66,0.0
13,worcestershire sauce,0.0,0.0,19.46,0.0
14,jalapeno,0.91,0.37,6.5,2.8
15,garlic head,6.36,0.5,33.06,2.1
16,cornstarch paste water,0.26,0.05,91.27,0.9
17,herb,9.11,7.43,63.94,37.0
18,beef,21.64,4.81,0.12,0.0
19,chicken soup,2.52,1.2,3.53,0.0
20,sauce pizza,10.36,12.28,29.02,2.2
21,recipe rye bread loaf soda,0.07,0.02,9.56,0.0
22,powder mustard,3.74,3.34,5.83,4.0
23,apple braeburn gala crisp,7.9,1.3,82.2,16.5
24,cornmeal,7.11,1.75,79.45,3.9
25,sauce tomato cooking,0.88,0.2,3.89,1.2
26,sherry dry,0.2,0.0,11.67,0.0
27,potato skin,2.57,0.1,12.44,2.5
28,yogurt mayonnaise,0.0,77.0,0.0,0.0
29,butter mushroom,0.85,81.11,0.06,0.0
30,pesto basil,5.0,31.46067415730337,7.865168539325842,1.6853932584269662
31,bread bowl,10.72,3.24,48.68,4.0
32,onion,1.1,0.1,9.34,1.7
33,oil tomato,0.0,100.0,0.0,0.0
34,breadcrumb,13.35,5.3,71.98,4.5
35,rice,,,,
36,enchilada sauce,1.67,0.0,8.33,1.7
37,garlic,6.36,0.5,33.06,2.1
38,hoagie roll,8.6,4.3,50.2,3.2
39,tomato bisque,0.88,0.2,3.89,1.2
40,sauce tabasco variety,1.29,0.76,0.8,0.6
41,butter peanut,0.85,81.11,0.06,0.0
42,frankfurter,11.53,27.64,1.72,0.0
43,basil spice powder oregano,3.15,0.64,2.65,1.6
44,chard swis,1.8,0.2,3.74,1.6
45,head cabbage,1.28,0.1,5.8,2.5
46,barbecue sauce,0.82,0.63,40.77,0.9
47,steak iron,20.0,15.83,0.0,0.0
48,spinach romaine etc arugula radicchio,2.86,0.39,3.63,2.2
49,salt,0.0,0.0,0.0,0.0
50,pepper powder chili deseed tabasco chilli sauce,0.51,0.37,1.75,0.3
51,oil crisco,0.0,100.0,0.0,0.0
52,thyme,5.56,1.68,24.45,14.0
53,mushroom,3.09,0.34,3.26,1.0
54,oil extravirgin,0.0,100.0,0.0,0.0
55,yeast,40.44,7.61,41.22,26.9
56,hair pasta,13.04,1.51,74.67,3.2
57,pepperoni mini,22.9,43.5,0.0,0.0
58,jam,0.37,0.07,68.86,1.1
59,clove recipe thing,5.97,13.0,65.53,33.9
60,milk,3.15,3.25,4.8,0.0
61,sodium soy,36.49,19.94,30.16,9.3
62,pepper ring,0.86,0.17,4.64,1.7
63,cheddar tillamook,24.04,33.82,1.33,0.0
64,chop pork,19.74,12.58,0.0,0.0
65,vinaigrette raspberry,0.0,50.1,2.5,0.0
66,ham,16.6,8.6,3.83,1.3
67,lemon juice,0.35,0.24,6.9,0.3
68,corn,3.27,1.35,18.7,2.0
69,pasta hair,13.04,1.51,74.67,3.2
70,almond,21.15,49.93,21.55,12.5
71,clove,5.97,13.0,65.53,33.9
72,find paprika,14.14,12.89,53.99,34.9
73,corn chip,6.17,33.36,56.9,4.0
74,rice wine,0.5,0.0,5.0,0.0
75,bean garbanzo,7.05,2.77,22.53,6.4
76,lemon,1.1,0.3,9.32,2.8
77,wine sherry,0.07,0.0,2.72,0.0
78,vinegar,0.0,0.0,0.04,0.0
79,fresh mushroom,3.09,0.34,3.26,1.0
80,peppercorn,10.39,3.26,63.95,25.3
81,chiligarlic sriracha,0.51,0.37,1.75,0.3
82,egg noodle,14.16,4.44,71.27,3.3
83,apple,0.26,0.17,13.81,2.4
84,bag carrot,0.93,0.24,9.58,2.8
85,brisket beef,21.64,4.81,0.12,0.0
86,prawn,13.61,1.01,0.91,0.0
87,rind lemon lime,0.09,0.0,10.42,0.0
88,catsup,1.04,0.1,27.4,0.3
89,basic paper stock kitchen,2.52,1.2,3.53,0.0
90,basil torn,3.15,0.64,2.65,1.6
91,soup mushroom,3.09,0.34,3.26,1.0
92,butt pork,19.74,12.58,0.0,0.0
93,almond butter,20.96,55.5,18.82,10.3
94,oil cooking,0.0,100.0,0.0,0.0
95,cracker crumb ritz,6.64,26.43,61.3,2.3
96,apple juice,0.26,0.17,13.81,2.4
97,baguette,10.75,2.42,51.88,2.2
98,dinner roll,10.86,6.47,52.04,2.0
99,broth,0.030342269,0.037668371,0.150307177,0.04224718400000001
100,tarragon,22.77,7.24,50.22,7.4
101,lettuce,1.35,0.22,2.23,1.1
102,celery,0.69,0.17,2.97,1.6
103,bunch parsley,2.97,0.79,6.33,3.3
104,butter,0.85,81.11,0.06,0.0
105,salt seasonall,0.0,0.0,0.0,0.0
106,stalk celery,0.69,0.17,2.97,1.6
107,egg,12.56,9.51,0.72,0.0
108,lime juice,0.42,0.07,8.42,0.4
109,soup campbell onion,1.1,0.1,9.34,1.7
110,wedge onion,1.1,0.1,9.34,1.7
111,margarine,0.16,80.71,0.7,0.0
112,paste tomato,0.88,0.2,3.89,1.2
113,cod,17.81,0.67,0.0,0.0
114,hamburger,17.17,20.0,0.0,0.0
115,lamb beef,,,,
116,fettuccine pasta,13.04,1.51,74.67,3.2
117,sauce tomato,0.88,0.2,3.89,1.2
118,salt omit flour,0.0,0.0,0.0,0.0
119,wine vinegar,0.04,0.0,0.27,0.0
120,corn tortilla,5.7,2.85,44.64,6.3
121,pasta,13.04,1.51,74.67,3.2
122,sage,10.63,12.75,60.73,40.3
123,broccoli,2.82,0.37,6.64,2.6
124,clove garlic,6.36,0.5,33.06,2.1
125,oregano,9.0,4.28,68.92,42.5
126,lemon zest,1.5,0.3,16.0,10.6
127,cheddar monterey,24.04,33.82,1.33,0.0
128,salt seasoning,0.0,0.0,0.0,0.0
129,pepper thai seed chili,1.74,0.44,6.7,3.7
130,pepper chili,1.87,0.44,8.81,1.5
131,pepper salt,10.39,3.26,63.95,25.3
132,sauce soy,36.49,19.94,30.16,9.3
133,mustard,3.74,3.34,5.83,4.0
134,tomato soup,0.88,0.2,3.89,1.2
135,seasoning creole,9.59,7.53,65.59,11.3
136,tortilla chip,6.62,22.33,67.38,4.7
137,potato leftover quantity,2.02,0.09,17.47,2.2
138,oil peanut,0.0,100.0,0.0,0.0
139,cumin,17.81,22.27,44.24,10.5
140,season,9.59,7.53,65.59,11.3
141,ranch mustard,3.74,3.34,5.83,4.0
142,cream halfandhalf,2.05,37.0,2.79,0.0
143,cinnamon,3.99,1.24,80.59,53.1
144,lasagna noodle,13.04,1.51,74.67,3.2
145,juice orange,0.94,0.12,11.75,2.4
146,honey,0.3,0.0,82.4,0.2
147,lunch meat,21.64,4.81,0.12,0.0
148,capsicum,0.99,0.3,6.03,2.1
149,pepper seasoning,9.59,7.53,65.59,11.3
150,soy,36.49,19.94,30.16,9.3
151,pepperoni,22.9,43.5,0.0,0.0
152,cheesy bag corn chip,6.17,33.36,56.9,4.0
153,bread,10.72,3.24,48.68,4.0
154,parsley,2.97,0.79,6.33,3.3
155,fit tortilla lunchbox,5.7,2.85,44.64,6.3
156,tortilla bread,8.01,7.58,49.27,2.4
157,oil canola,0.0,100.0,0.0,0.0
158,pork loin,19.74,12.58,0.0,0.0
159,olive,0.84,10.68,6.26,3.2
160,chicken soup cream,2.52,1.2,3.53,0.0
161,cheese,24.04,33.82,1.33,0.0
162,ring bowl onion ice water,1.1,0.1,9.34,1.7
163,seasoning,9.59,7.53,65.59,11.3
164,sprout bean,23.36,0.85,60.27,15.2
165,cornstarch,0.26,0.05,91.27,0.9
166,seed sesame,17.73,49.67,23.45,11.8
167,bun,9.87,3.76,50.15,2.1
168,bouillon flavor,1.14,0.22,0.04,0.0
169,jalapeno chile,0.91,0.37,6.5,2.8
170,salt coarse,0.0,0.0,0.0,0.0
171,paprika,14.14,12.89,53.99,34.9
172,tuna,24.4,0.49,0.0,0.0
173,sausage veal,19.35,6.77,0.0,0.0
174,pepper bell,10.39,3.26,63.95,25.3
175,cider vinegar,0.0,0.0,0.93,0.0
176,salt sea,0.0,0.0,0.0,0.0
177,pepper cayenne,10.39,3.26,63.95,25.3
178,sauce tomato paste pizza,10.36,12.28,29.02,2.2
179,egg substitute,,,,
180,steak,20.0,15.83,0.0,0.0
181,yogurt,3.47,3.25,4.66,0.0
182,noodle,14.16,4.44,71.27,3.3
183,cabbage,1.28,0.1,5.8,2.5
184,cucumber,0.65,0.11,3.63,0.5
185,wine,0.07,0.0,2.72,0.0
186,cranberry,0.39,0.13,12.2,4.6
187,butter wholefood oat peanut,0.85,81.11,0.06,0.0
188,potato idaho,2.02,0.09,17.47,2.2
189,biscuit jiffy,7.0,16.3,44.6,1.5
190,relish pickle,0.37,0.47,35.06,1.1
191,tomato,0.88,0.2,3.89,1.2
192,relish sweet,0.37,0.47,35.06,1.1
193,bulgur burghul,12.29,1.33,75.87,12.5
194,beer,0.46,0.0,3.55,0.0
195,steak temperature tuna room,24.4,0.49,0.0,0.0
196,scallion,1.83,0.19,7.34,2.6
197,period simmer water,0.0,0.0,0.0,0.0
198,carrot,0.93,0.24,9.58,2.8
199,work beer wine,0.46,0.0,3.55,0.0
200,thyme sprig,5.56,1.68,24.45,14.0
201,jalapeno pepper,0.91,0.37,6.5,2.8
202,gill mushroom portabella,2.11,0.35,3.87,1.3
203,plu water,0.0,0.0,0.0,0.0
204,powder onion,1.1,0.1,9.34,1.7
205,ginger,1.82,0.75,17.77,2.0
206,walnut,15.23,65.21,13.71,6.7
207,notch salsa,1.54,0.17,6.72,1.8
208,potato wedge,2.02,0.09,17.47,2.2
209,powder chili,1.87,0.44,8.81,1.5
210,water,0.0,0.0,0.0,0.0
211,shallot,2.5,0.1,16.8,3.2
212,wont parsley,2.97,0.79,6.33,3.3
213,turkey beef,21.64,4.81,0.12,0.0
214,pepper,10.39,3.26,63.95,25.3
215,chicken broth,2.52,1.2,3.53,0.0
216,pizza,10.36,12.28,29.02,2.2
217,coriander,12.37,17.77,54.99,41.9
218,tortilla,5.7,2.85,44.64,6.3
219,macaroni,13.04,1.51,74.67,3.2
220,dijon,3.74,3.34,5.83,4.0
221,ketchup,1.04,0.1,27.4,0.3
222,iceberg lettuce,0.9,0.14,2.97,1.2
223,spinach,2.86,0.39,3.63,2.2
224,salt garlic,0.0,0.0,0.0,0.0
225,salami ham,21.07,31.65,0.72,0.0
226,bisquick,,,,
227,romaine lettuce,1.23,0.3,3.29,2.1
228,cilantro,2.13,0.52,3.67,2.8
229,salsa,1.54,0.17,6.72,1.8
230,bunch spring onion,1.83,0.19,7.34,2.6
231,chicken stock,2.52,1.2,3.53,0.0
232,chive,3.27,0.73,4.35,2.5
233,oil,0.0,100.0,0.0,0.0
234,sugar brown,0.0,0.0,99.98,0.0
235,roast beef,20.71,12.15,0.0,0.0
236,spinach bag,2.86,0.39,3.63,2.2
237,kidney bean,23.58,0.83,60.01,24.9
238,floret broccoli,2.82,0.37,6.64,2.6
239,romaine head,1.23,0.3,3.29,2.1
240,turkey,21.64,5.64,0.13,0.0
241,chili,1.87,0.44,8.81,1.5
242,bouillon chicken,18.6,15.06,0.0,0.0
243,dry parsley,2.97,0.79,6.33,3.3
244,pineapple,0.54,0.12,13.12,1.4
245,taco,6.41,21.79,63.49,6.7
246,sauce soya,8.14,0.57,4.93,0.8
247,flour,10.33,0.98,76.31,2.7
248,cracker ritz,6.64,26.43,61.3,2.3
249,cabernet wine,0.07,0.0,2.72,0.0
250,avocado,2.0,14.66,8.53,6.7
251,fresh parsley,2.97,0.79,6.33,3.3
252,bean,23.36,0.85,60.27,15.2
253,grape,0.72,0.16,18.1,0.9
254,float boat mustard,3.74,3.34,5.83,4.0
255,baking soda,0.0,0.0,0.0,0.0
256,spring onion,1.83,0.19,7.34,2.6
257,tasty eat flavour skin drumstick chicken,18.08,9.2,0.11,0.0
258,omit flour powder,10.33,0.98,76.31,2.7
259,seed celery,0.69,0.17,2.97,1.6
260,tortilla tomato,0.88,0.2,3.89,1.2
261,lime,0.7,0.2,10.54,2.8
262,gingerroot,1.82,0.75,17.77,2.0
263,coarse pepper,10.39,3.26,63.95,25.3
264,oil turn,0.0,100.0,0.0,0.0
265,basil,3.15,0.64,2.65,1.6
266,pepper slit seed chili,1.74,0.44,6.7,3.7
267,bacon,12.62,39.69,1.28,0.0
268,honey mustard,3.74,3.34,5.83,4.0
269,favourite packet noodle hokkien,14.16,4.44,71.27,3.3
270,salmon,20.42,13.42,0.0,0.0
271,potato baking wash,2.02,0.09,17.47,2.2
272,harp beer lager,0.46,0.0,3.55,0.0
273,applesauce cream,2.05,37.0,2.79,0.0
274,drumstick chicken,18.08,9.2,0.11,0.0
275,potato,2.02,0.09,17.47,2.2
276,puff pastry,7.3,38.1,45.1,1.5
277,chicken,18.6,15.06,0.0,0.0
278,cream whipping,2.05,37.0,2.79,0.0
279,rice time fine cooking,,,,
280,nutmeg,5.84,36.31,49.29,20.8
281,buttermilk biscuit,7.0,16.3,44.6,1.5
282,pea,5.42,0.4,14.45,5.1
283,sugar,0.0,0.0,99.98,0.0
284,liquid smoke salt hickory,0.0,0.0,0.0,0.0
285,spinach lettuce,2.86,0.39,3.63,2.2
286,salt powder onion,0.0,0.0,0.0,0.0
287,sausage,15.37,24.78,0.93,0.0
288,oil sesame,0.0,100.0,0.0,0.0
289,chunk pineapple,0.54,0.12,13.12,1.4
290,mayonnaise,0.0,77.0,0.0,0.0
291,lime lemon juice,0.7,0.2,10.54,2.8
292,linguine dente,13.04,1.51,74.67,3.2
293,muffin,6.9,11.4,41.4,2.7
294,market garam masala,6.09,8.69,72.12,21.6
295,tomato rotel,0.79,0.25,3.47,1.9
296,flour tortilla,8.01,7.58,49.27,2.4
